"name","releaseDate","genre","rating"
"Street Dancer 3D","24 Jan 2020 |  2 hrs 35 mins","HindiDrama | U/A","3.5"
"Panga","24 Jan 2020 |  2 hrs 11 mins","HindiDrama, Romance | U","4.0"
"Disco Raja","24 Jan 2020 |  2 hrs 2 mins","TeluguAction, Sci-Fi, Thriller | U/A","2.5"
"Shaheed Bhai Kotwal","24 Jan 2020 |  2 hrs 10 mins","MarathiDrama | U/A","3.0"
"Shaun The Sheep Movie: Farmageddon","24 Jan 2020 |  1 hr 26 mins","EnglishAnimation, Adventure, Comedy | U","3.5"
"Miss U Miss","24 Jan 2020 |  2 hrs 5 mins","MarathiDrama | U/A","1.5"
"Psycho","24 Jan 2020 |  2 hrs 14 mins","TamilPsychological, Thriller | A","3.5"
"Jinde Meriye","24 Jan 2020 |  2 hrs 10 mins","PunjabiDrama, Romance | U/A",""
"Mission Pakistan","24 Jan 2020 |  2 hrs 16 mins","BhojpuriDrama | U/A",""
"Shaheed Chandrashekhar Azaad","24 Jan 2020 |  2 hrs 35 mins","HindiDrama | U/A",""
"Shylock","23 Jan 2020 |  2 hrs 11 mins","MalayalamAction, Comedy | U/A","3.0"
"Dwitiyo Purush","23 Jan 2020 |  2 hrs 10 mins","BengaliDrama, Mystery, Thriller | U/A","3.0"
"Dubsmash","30 Jan 2020 |  2 hrs 2 mins","TeluguDrama | U/A","-"
"Abyakto","31 Jan 2020 |  1 hr 28 mins","BengaliDrama | U","-"
"Anveshanam","31 Jan 2020 |  2 hrs 10 mins","MalayalamDrama, Thriller | U","-"
"Aswathama","31 Jan 2020 |  2 hrs 2 mins","TeluguDrama, Action","-"
"Bad Boys For Life","31 Jan 2020 |  1 hr 53 mins","EnglishAction, Crime, Comedy | U/A","-"
"Choosi Choodangaane","31 Jan 2020 |  2 hrs 10 mins","TeluguComedy, Drama, Romance | U/A","-"
"Dagaalty","31 Jan 2020 |  2 hrs 10 mins","TamilAction, Drama | U/A","-"
"Dinga","31 Jan 2020 |  1 hr 47 mins","Kannada | U/A","-"
"Gandhi Phir Aa Gaya","31 Jan 2020 |  2 hrs 2 mins","PunjabiDrama","-"
"Gul Makai","31 Jan 2020 |  2 hrs 12 mins","HindiDrama, Biography | U/A","-"
"Happy Hardy And Heer","31 Jan 2020 |  2 hrs 3 mins","HindiMusical, Romance, Comedy | U","-"
"Jawaani Jaaneman","31 Jan 2020 |  2 hrs 10 mins","HindiDrama, Romance, Comedy | U/A","-"
"Jojo Rabbit","31 Jan 2020 |  1 hr 48 mins","EnglishComedy, Drama, War | U/A","4.0"
"Kaanadante Maayavadanu","31 Jan 2020 |  2 hrs 7 mins","KannadaAction, Comedy, Romance | U/A","-"
"Love Mocktail","31 Jan 2020 |  2 hrs 33 mins","KannadaDrama, Romance | U/A","-"
"Luv Ni Love Storys","31 Jan 2020 |  2 hrs 22 mins","GujaratiDrama, Comedy, Romance | U","-"
"Maayanadhi","31 Jan 2020 |  2 hrs 10 mins","TamilDrama | U/A","-"
"Naadodigal 2","31 Jan 2020 |  2 hrs 2 mins","TamilDrama | U/A","-"
"Namo","31 Jan 2020 |  2 hrs 20 mins","KannadaDrama | U/A","-"
"Parasite","31 Jan 2020 |  2 hrs 14 mins","KoreanComedy, Crime, Drama | A","-"
